[Epoch 01/120] Train Loss: 2.7013 | Val Loss: 2.4944 (EMA) | Val Acc: 0.2401 (Best: 0.0000) | lr: 1.00e-04 | time/epoch: 142.9s
[Epoch 02/120] Train Loss: 2.2759 | Val Loss: 2.1459 (EMA) | Val Acc: 0.3546 (Best: 0.2401) | lr: 2.00e-04 | time/epoch: 115.2s
[Epoch 03/120] Train Loss: 1.9185 | Val Loss: 1.7394 (EMA) | Val Acc: 0.4675 (Best: 0.3546) | lr: 3.00e-04 | time/epoch: 115.3s
[Epoch 04/120] Train Loss: 1.5679 | Val Loss: 1.4815 (EMA) | Val Acc: 0.5655 (Best: 0.4675) | lr: 3.00e-04 | time/epoch: 116.3s
[Epoch 05/120] Train Loss: 1.3460 | Val Loss: 1.3128 (EMA) | Val Acc: 0.6467 (Best: 0.5655) | lr: 3.00e-04 | time/epoch: 115.0s
[Epoch 06/120] Train Loss: 1.2063 | Val Loss: 1.1548 (EMA) | Val Acc: 0.6994 (Best: 0.6467) | lr: 3.00e-04 | time/epoch: 115.2s
[Epoch 07/120] Train Loss: 1.1196 | Val Loss: 1.1037 (EMA) | Val Acc: 0.7196 (Best: 0.6994) | lr: 3.00e-04 | time/epoch: 115.2s
[Epoch 08/120] Train Loss: 1.0465 | Val Loss: 1.0265 (EMA) | Val Acc: 0.7508 (Best: 0.7196) | lr: 2.99e-04 | time/epoch: 116.3s
[Epoch 09/120] Train Loss: 1.0075 | Val Loss: 0.9903 (EMA) | Val Acc: 0.7641 (Best: 0.7508) | lr: 2.99e-04 | time/epoch: 115.7s
[Epoch 10/120] Train Loss: 0.9667 | Val Loss: 0.9564 (EMA) | Val Acc: 0.7780 (Best: 0.7641) | lr: 2.98e-04 | time/epoch: 115.4s
[Epoch 11/120] Train Loss: 0.9329 | Val Loss: 0.9078 (EMA) | Val Acc: 0.8011 (Best: 0.7780) | lr: 2.97e-04 | time/epoch: 115.3s
[Epoch 12/120] Train Loss: 0.8965 | Val Loss: 0.8847 (EMA) | Val Acc: 0.8064 (Best: 0.8011) | lr: 2.97e-04 | time/epoch: 115.6s
[Epoch 13/120] Train Loss: 0.8801 | Val Loss: 0.8781 (EMA) | Val Acc: 0.8067 (Best: 0.8064) | lr: 2.96e-04 | time/epoch: 116.0s
[Epoch 14/120] Train Loss: 0.8508 | Val Loss: 0.8581 (EMA) | Val Acc: 0.8187 (Best: 0.8067) | lr: 2.95e-04 | time/epoch: 116.0s
[Epoch 15/120] Train Loss: 0.8374 | Val Loss: 0.8421 (EMA) | Val Acc: 0.8301 (Best: 0.8187) | lr: 2.93e-04 | time/epoch: 115.8s
[Epoch 16/120] Train Loss: 0.8191 | Val Loss: 0.8350 (EMA) | Val Acc: 0.8272 (Best: 0.8301) | lr: 2.92e-04 | time/epoch: 115.5s
[Epoch 17/120] Train Loss: 0.8031 | Val Loss: 0.8332 (EMA) | Val Acc: 0.8245 (Best: 0.8301) | lr: 2.91e-04 | time/epoch: 115.3s
[Epoch 18/120] Train Loss: 0.7998 | Val Loss: 0.8109 (EMA) | Val Acc: 0.8328 (Best: 0.8301) | lr: 2.89e-04 | time/epoch: 115.5s
[Epoch 19/120] Train Loss: 0.7778 | Val Loss: 0.8008 (EMA) | Val Acc: 0.8416 (Best: 0.8328) | lr: 2.88e-04 | time/epoch: 116.6s
[Epoch 20/120] Train Loss: 0.7630 | Val Loss: 0.7876 (EMA) | Val Acc: 0.8474 (Best: 0.8416) | lr: 2.86e-04 | time/epoch: 115.2s
[Epoch 21/120] Train Loss: 0.7562 | Val Loss: 0.7732 (EMA) | Val Acc: 0.8485 (Best: 0.8474) | lr: 2.84e-04 | time/epoch: 115.3s
[Epoch 22/120] Train Loss: 0.7419 | Val Loss: 0.7695 (EMA) | Val Acc: 0.8522 (Best: 0.8485) | lr: 2.83e-04 | time/epoch: 115.3s
[Epoch 23/120] Train Loss: 0.7263 | Val Loss: 0.7533 (EMA) | Val Acc: 0.8568 (Best: 0.8522) | lr: 2.81e-04 | time/epoch: 115.7s
